pertSize,reactionTime,initialResponse,subID,blockNo,speed,leftResponse,rightResponse,noResponse
0,6.6799999099967,1,2,4,0,0,1,0
-200,2.90200256049138,1,2,4,0,0,1,0
150,3.44600748502853,-1,2,4,0,1,0,0
100,4.75600003802538,-1,2,4,0,1,0,0
200,2.27100108718878,-1,2,4,0,1,0,0
0,5.68100218689506,-1,2,4,0,1,0,0
-100,7.39499728024384,1,2,4,0,0,1,0
50,5.80799872612988,-1,2,4,0,1,0,0
-300,2.66800208092172,1,2,4,0,0,1,0
0,5.69099539006129,-1,2,4,0,1,0,0
-25,7.02300353050668,-1,2,4,0,1,0,0
300,2.17899651515472,-1,2,4,0,1,0,0
150,3.32700331497472,-1,2,4,0,1,0,0
-200,2.63300387644995,1,2,4,0,0,1,0
-50,4.85200105739204,1,2,4,0,0,1,0
25,5.3979979846481,-1,2,4,0,1,0,0
100,5.69099476755218,-1,2,4,0,1,0,0
150,4.71000087010907,-1,2,4,0,1,0,0
-200,3.67999929142388,1,2,4,0,0,1,0
0,6.16100149345584,1,2,4,0,0,1,0
100,3.39899471497483,-1,2,4,0,1,0,0
-50,6.81699503612617,1,2,4,0,0,1,0
300,3.24499688494689,-1,2,4,0,1,0,0
0,6.83499522638886,-1,2,4,0,1,0,0
25,7.55400092602213,-1,2,4,0,1,0,0
-300,2.52600104880548,1,2,4,0,0,1,0
-150,2.79899454153201,1,2,4,0,0,1,0
200,2.47300363779505,-1,2,4,0,1,0,0
50,6.51999907100253,-1,2,4,0,1,0,0
-25,4.92700083363161,1,2,4,0,0,1,0
-100,5.28099641048902,1,2,4,0,0,1,0
-150,3.75799444496806,1,2,4,0,0,1,0
25,4.65100270950643,-1,2,6,0,1,0,0
-50,3.82499825132254,1,2,6,0,0,1,0
-200,2.63600392008084,1,2,6,0,0,1,0
150,2.29600415849563,-1,2,6,0,1,0,0
300,2.42700070381397,-1,2,6,0,1,0,0
-25,6.96300569355662,-1,2,6,0,1,0,0
0,6.2310076706417,1,2,6,0,0,1,0
-300,2.68200591254572,1,2,6,0,0,1,0
50,3.56500475502253,-1,2,6,0,1,0,0
-100,3.86000376498851,1,2,6,0,0,1,0
0,7.18299880016275,-1,2,6,0,1,0,0
200,2.22100209117343,-1,2,6,0,1,0,0
-150,2.57399943256314,1,2,6,0,0,1,0
-100,5.04800738167978,1,2,6,0,0,1,0
-25,7.56100445401535,-1,2,6,0,1,0,0
